id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,esferico_min,esferico_max,cilindrico_min,cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,ativo,disponivel,prazo_entrega
8b66321b-83bc-4d63-9099-062c5fd41f35,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes INCOLOR SEM A.R.,INCOLOR SEM A.R.,visao_simples,CR39,1.50,economica,True,True,False,False,nenhum,-6.0,6.0,-2.0,0.0,0.0,0.0,9.0,9.0,250.9,True,True,7
6c9778c2-9c67-4a8b-9adf-a39751c17588,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes INCOLOR SEM A.R. CIL. ESTENDIDO,INCOLOR SEM A.R. CIL. ESTENDIDO,visao_simples,CR39,1.50,economica,True,True,False,False,nenhum,-4.0,4.0,-4.0,-2.25,0.0,0.0,12.0,12.0,251.2,True,True,7
6f78c3d0-93f4-4756-9701-813f2c0c9906,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR,CR AR,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,-6.0,6.0,-2.0,0.0,0.0,0.0,11.0,11.0,251.1,True,True,7
353475c7-ddc4-4156-98f8-66e386573135,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR EST,CR AR EST,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,-4.0,4.0,-4.0,-2.25,0.0,0.0,20.0,20.0,252.0,True,True,7
34e69de9-c798-466c-b7ea-aad62bc51e8b,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR EST CYL6,CR AR EST CYL6,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,-4.0,4.0,-6.0,-4.25,0.0,0.0,42.0,42.0,254.2,True,True,7
a9aa0a60-6297-4e43-93f3-32bd07a32b6e,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes FOTOSSENSÍVEL AR,FOTOSSENSÍVEL AR,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,-5.0,5.0,-2.0,0.0,0.0,0.0,18.0,18.0,251.8,True,True,7
90ff5859-1bf8-4fea-8201-4472a0af4803,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes FOTOSSENSÍVEL AR ESTENDIDO,FOTOSSENSÍVEL AR ESTENDIDO,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,-4.0,4.0,-4.0,-2.25,0.0,0.0,26.0,26.0,252.6,True,True,7
dcbd1df6-7807-4679-9fef-6b763747a403,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR ANTIBLUE (RESIDUAL VERDE),CR AR ANTIBLUE (RESIDUAL VERDE),visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,-6.0,6.0,-2.0,0.0,0.0,0.0,16.0,16.0,251.6,True,True,7
09af7537-ae1b-4669-b69d-a66c217ce047,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR ANTIBLUE EST (RESIDUAL VERDE),CR AR ANTIBLUE EST (RESIDUAL VERDE),visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,-6.0,6.0,-4.0,-2.25,0.0,0.0,22.0,22.0,252.2,True,True,7
359315ba-c899-4f5f-b082-15c80b756aae,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR ANTIBLUE EST CYL6 (RESIDUAL VERDE),CR AR ANTIBLUE EST CYL6 (RESIDUAL VERDE),visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,-4.0,4.0,-6.0,-4.25,0.0,0.0,48.0,48.0,254.8,True,True,7
cb4f975a-50e0-431f-af87-ee93c7f1f924,43721f5b-4f4a-4a75-bb34-6e8b373c5948,87915598-a669-4f7f-8551-fa7259f6358c,Braslentes CR AR ANTIBLUE (RESIDUAL AZUL),CR AR ANTIBLUE (RESIDUAL AZUL),visao_simples,CR39,1.56,economica,True,True,False,True,nenhum,-6.0,6.0,-2.0,0.0,0.0,0.0,16.0,16.0,251.6,True,True,7
