id,nome,slug,fabricante,fabricante_id,is_premium,ativo
4ba0d55f-70a5-4e51-8ddc-b1f283d298f4,Acuvue,acuvue,Johnson & Johnson,4b2d639c-1895-4c17-8a6f-442dc8a8d046,True,True
40c1743c-b750-5ca6-a6cb-af5c613f82b0,Precision,precision,Alcon,f0c192cd-1ba8-459b-a82e-b3ff049644d9,True,True
bdc5b2b2-b84c-5881-9cdd-c1b8aaf48b3a,Bausch,bausch,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,True,True
7a86c3fe-4a5e-59db-86d3-cd62c10a4e20,Clariti,clariti,CooperVision,9400f665-2f93-47ba-97c5-2a2248236e6a,True,True
03d9f1ed-fbe2-559a-b250-f42a86b69f1d,Proclear,proclear,CooperVision,9400f665-2f93-47ba-97c5-2a2248236e6a,True,True
b2c6b318-0842-4cea-9871-8f949445dede,Air Optix,air-optix,Alcon,f0c192cd-1ba8-459b-a82e-b3ff049644d9,True,True
1bd570cc-f5c5-594e-8a20-6d42d034e57f,Avaira,avaira,CooperVision,9400f665-2f93-47ba-97c5-2a2248236e6a,True,True
c8a1c72b-14b8-4fb6-b5e2-8fab6cf99c88,Biofinity,biofinity,CooperVision,9400f665-2f93-47ba-97c5-2a2248236e6a,True,True
fd2bdef3-7a99-5766-b01d-67beb5b8767d,Biomedics,biomedics,CooperVision,9400f665-2f93-47ba-97c5-2a2248236e6a,False,True
03c77e05-0dc2-55e3-be9e-b9c3c5b8cdc1,Hidroblue,hidroblue,Solótica,f8b6d0f7-42b5-46ff-b216-ad717ce0e8bb,False,True
a16aa23b-815c-421c-96e6-c652fc239d94,Hidrocor,hidrocor,Solótica,f8b6d0f7-42b5-46ff-b216-ad717ce0e8bb,False,True
ecb32bbd-6796-52bb-88e3-3d6ec42c7302,Magic Top,magic-top,Optolentes,,False,True
d7869a46-4b3e-599b-b89b-7a4adfde54ea,Natural Colors,natural-colors,Solótica,f8b6d0f7-42b5-46ff-b216-ad717ce0e8bb,False,True
7cf574e1-e92f-5069-8dd6-3cb97299974f,Natural Vision,natural-vision,Natural Vision,,False,True
965510a3-b51b-5bc2-b45f-63ad3b8b7bb7,Solflex,solflex,Solótica,f8b6d0f7-42b5-46ff-b216-ad717ce0e8bb,False,True
38d91af6-0fed-43bc-97e8-1cab30a9631d,Soflens,soflens,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,True,True
371c7019-a93d-52f6-8156-28a26cd0f6f7,Ultra,ultra,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,True,True
0ae666e8-464c-56cd-bf6c-03cb002dd5b7,Biotrue,biotrue,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,True,True
cfc8bcfc-9061-582c-a352-6df31ebc46ed,Aveo,aveo,Aveo,,False,True
4fcb3afe-be54-49bf-973e-d627090b0e2b,Dailies,dailies,Alcon,f0c192cd-1ba8-459b-a82e-b3ff049644d9,True,True
faf38bd7-f82d-56c6-9354-f67cbafce7f1,Bioblue,bioblue,Central Oftálmica,,False,True
58dacfaf-b712-4fca-b972-0cd5a89008f1,Biosoft,biosoft,Central Oftálmica,,False,True
ce8760b2-0bbf-5bdd-9246-f88b502b30c1,Purevision,purevision,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,True,True
200d0b79-bd91-51f9-9874-dd6bc9f906f6,Lunare,lunare,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,False,True
60050830-8a53-5132-968f-e25046572985,Optima,optima,Bausch & Lomb,a725651f-79ee-4558-8f69-dc8b066b3319,False,True
f5441db3-c98a-585a-8299-07c7bdd17a6a,Hidrosoft,hidrosoft,Solótica,f8b6d0f7-42b5-46ff-b216-ad717ce0e8bb,False,True
cdadf450-9406-5325-aa8e-c84458e0fc70,Optogel,optogel,Optolentes,,False,True
f83cad32-5932-5c6a-98c9-2830c5ae8b16,Bioview,bioview,Central Oftálmica,,False,True
b1194c29-cb97-5fc2-a5d6-74428c976147,Silidrogel,silidrogel,Central Oftálmica,,False,True
