id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega
927ce0cd-5cdb-43e2-9148-3e62cbebeff0,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR 1.49 Incolor,LT CR 1.49 Incolor,visao_simples,CR39,1.50,economica,False,False,False,False,nenhum,nenhum,False,False,False,False,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,12.0,12.0,251.2,ativo,True,True,5
7e6cc7e2-32f3-4b78-ba26-17ea22403314,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR 1.49 Incolor Cil. Ext.,LT CR 1.49 Incolor Cil. Ext.,visao_simples,CR39,1.50,economica,False,False,False,False,nenhum,nenhum,False,False,False,False,False,-4.0,4.0,-4.0,-2.25,-4.0,4.0,-4.0,-2.25,0.0,0.0,15.5,15.5,251.55,ativo,True,True,5
3215dd58-ce3e-42a8-9b3a-f199d2bf63d0,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56,LT CR AR 1.56,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,False,-8.0,6.0,-2.0,0.0,-8.0,6.0,-2.0,0.0,0.0,0.0,13.0,13.0,251.3,ativo,True,True,5
d3dcb7a4-2223-4f0d-8204-e7538bb23919,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Cil. Ext.,LT CR AR 1.56 Cil. Ext.,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,False,-6.0,5.0,-5.0,-2.25,-6.0,5.0,-5.0,-2.25,0.0,0.0,17.0,17.0,251.7,ativo,True,True,5
78d909cf-ff08-457d-a070-60219e2353e3,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Fotossensível,LT CR AR 1.56 Fotossensível,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,23.5,23.5,252.35,ativo,True,True,5
631a8438-3d0d-46f5-8814-cd6c76c71a41,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Fotossensível Cil. Ext.,LT CR AR 1.56 Fotossensível Cil. Ext.,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,False,-6.0,6.0,-4.0,-2.25,-6.0,6.0,-4.0,-2.25,0.0,0.0,36.5,36.5,253.65,ativo,True,True,5
ebcbde53-20e6-4d78-8fc8-948c0e0dda95,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Blue (Residual Azul),LT CR AR 1.56 Blue (Residual Azul),visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,17.0,17.0,251.7,ativo,True,True,5
c97e9728-f2d8-4ad1-a5dd-193b9e7d65a8,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Blue Cil. Ext. (Residual Azul),LT CR AR 1.56 Blue Cil. Ext. (Residual Azul),visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-4.0,4.0,-4.0,-2.25,-4.0,4.0,-4.0,-2.25,0.0,0.0,23.0,23.0,252.3,ativo,True,True,5
205dce65-1cf1-43c7-b9ff-8a5c371bd10e,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Blue (Residual Verde),LT CR AR 1.56 Blue (Residual Verde),visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,17.0,17.0,251.7,ativo,True,True,5
f07e0326-b1ba-4b39-ad5e-4b4a2f8ef108,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT CR AR 1.56 Blue Cil. Ext. (Residual Verde),LT CR AR 1.56 Blue Cil. Ext. (Residual Verde),visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,-4.0,-2.25,-6.0,6.0,-4.0,-2.25,0.0,0.0,23.0,23.0,252.3,ativo,True,True,5
