fornecedor,linha,familia,produto,tipo_lente,processo,design,material,indice,esf_min,esf_max,cil_min,cil_max,ar,blue,foto,marca_foto,diametro_mm,codigo_web,valor,observacoes
Lentes Express,Express,Prime,CR AR 1.56,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-6.0,6.0,0.0,-2.0,SIM,NAO,NAO,,65/70,3338.0,13.0,
Lentes Express,Express,Prime,CR AR 1.56 CIL EXT,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-6.0,5.0,0.0,-4.0,SIM,NAO,NAO,,65/70,3339.0,32.0,Cilindro estendido
Lentes Express,Express,Prime,CR AR 1.56 BLUE,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-6.0,4.0,0.0,-2.0,SIM,SIM,NAO,,65/70,5341.0,22.0,
Lentes Express,Express,Prime,CR AR 1.56 BLUE CIL EXT,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-4.0,4.0,0.0,-4.0,SIM,SIM,NAO,,65/70,5357.0,58.0,Cilindro estendido
Lentes Express,Express,Prime,CR AR FOTO,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-4.0,4.0,0.0,-2.0,SIM,NAO,SIM,GENERICA,65/70,1374.0,37.0,Fotocromática
Lentes Express,Express,Prime,CR AR FOTO CIL EXT,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-4.0,4.0,0.0,-4.0,SIM,NAO,SIM,GENERICA,65/70,3997.0,45.0,Fotocromática + Cil estendido
Lentes Express,Express,Prime,CR AR FOTO BLUE,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-6.0,4.0,0.0,-2.0,SIM,SIM,SIM,GENERICA,65/70,6512.0,52.0,Fotocromática
Lentes Express,Express,Prime,CR AR FOTO BLUE CIL EXT,VISAO_SIMPLES,ACABADA,ESF,CR,1.56,-4.0,4.0,0.0,-4.0,SIM,SIM,SIM,GENERICA,65/70,6513.0,62.0,Fotocromática + Cil estendido
Lentes Express,Express,Prime,POLI AR 1.59,VISAO_SIMPLES,ACABADA,ESF,POLI,1.59,-6.0,6.0,0.0,-2.0,SIM,NAO,NAO,,65/70,1509.0,25.0,
Lentes Express,Express,Prime,POLI AR 1.59 CIL EXT,VISAO_SIMPLES,ACABADA,ESF,POLI,1.59,-6.0,4.0,0.0,-4.0,SIM,NAO,NAO,,65/70,3293.0,43.0,Cilindro estendido
Lentes Express,Express,Prime,POLI AR 1.59 BLUE,VISAO_SIMPLES,ACABADA,ESF,POLI,1.59,-6.0,6.0,0.0,-2.0,SIM,SIM,NAO,,65/70,6508.0,48.0,
