nome_completo_lente,material,indice_refracao,tratamento,esf_min,esf_max,cil_min,cil_max,observacoes,preco_custo
Lente Ac. 1.49 Incolor,Acetato,1.49,Incolor,-4.0,6.0,0.0,-2.0,,18.5
Lente Ac. 1.49 Incolor Cil. Estendido,Acetato,1.49,Incolor,-4.0,4.0,-2.25,-4.0,Cilindrico Estendido,26.0
Lente Ac. 1.56 Blue Verniz Tintável,Acetato,1.56,Blue Verniz Tintável,-4.0,4.0,0.0,-2.0,,24.0
Lente Ac. 1.56 Blue Verniz Tintável Cil. Estendido,Acetato,1.56,Blue Verniz Tintável,-4.0,4.0,-2.25,-4.0,Cilindrico Estendido,34.0
Lente Ac. com AR 1.49,Acetato,1.49,AR,-4.0,4.0,0.0,-2.0,,13.5
Lente Ac. com AR 1.56,Acetato,1.56,AR,-8.0,4.0,0.0,-2.0,,12.8
Lente Ac. com AR 1.56 Cil. Estendido,Acetato,1.56,AR,-6.0,4.0,-2.25,-4.0,Cilindrico Estendido,27.0
Lente Ac. Policarbonato Incolor HC,Policarbonato,1.59,Incolor HC,-6.0,4.0,0.0,-2.0,,17.4
Lente Ac. Policarbonato Incolor HC Estendido,Policarbonato,1.59,Incolor HC,-6.0,2.0,0.0,-4.0,Cilindrico Estendido,44.0
Lente Ac. Policarbonato com AR,Policarbonato,1.59,AR,-8.0,6.0,0.0,-2.0,,22.1
Lente Ac. Policarbonato com AR Ext. Cil.,Policarbonato,1.59,AR,-6.0,4.0,-2.25,-4.0,Cilindrico Estendido,48.0
Lente Ac. 1.61 com AR Super Hidrofóbico,Acetato,1.61,AR Super Hidrofóbico,-10.0,4.0,0.0,-2.0,,64.0
Lente Ac. 1.61 com AR Super Hidrofóbico Estendido,Acetato,1.61,AR Super Hidrofóbico,0.0,-5.0,-4.0,-5.25,Cilindrico Estendido,64.0
Lente Ac. 1.61 com AR Super Hidrofóbico (Esférica Pura),Acetato,1.61,AR Super Hidrofóbico,-12.5,-15.0,0.0,0.0,Apenas Esférica,64.0
Lente Ac. 1.67 com AR Super Hidrofóbico,Acetato,1.67,AR Super Hidrofóbico,6.0,-12.0,0.0,-2.0,,98.0
Lente Ac. 1.67 com AR Super Hidrofóbico (Esférica Pura),Acetato,1.67,AR Super Hidrofóbico,-12.5,-15.0,0.0,0.0,Apenas Esférica,98.0
Lente Ac. 1.67 com AR Super Hidrofóbico Cil. Estendido,Acetato,1.67,AR Super Hidrofóbico,0.0,-8.0,-2.25,-4.0,Cilindrico Estendido,98.0
