codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,blue_uv,foto,marca_foto,marcacao,esf_min,esf_max,cil_min,cil_max,add_min,add_max,alt_min,alt_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro
440,STYLE PRIMER 180 1.56 INCOLOR,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.56,1.56,NAO,NAO,,S,-4.0,4.0,-4.0,0.0,1.0,3.5,14,26,80,124.0,183.0,243.0,313.0
441,STYLE PRIMER 180 1.56 BLUE,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.56,1.56,SIM,NAO,,S,-4.0,4.0,-4.0,0.0,1.0,3.5,14,26,80,162.0,221.0,281.0,351.0
442,STYLE PRIMER 180 1.56 FOTO,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.56,1.56,NAO,SIM,FOTOCROMATICO,S,-4.0,4.0,-4.0,0.0,1.0,3.5,14,26,80,195.0,254.0,314.0,384.0
443,STYLE PRIMER 180 1.59 POLI,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,POLI,1.59,NAO,NAO,,S,-5.0,5.0,-4.0,0.0,1.0,3.5,14,26,80,239.0,298.0,358.0,428.0
444,STYLE PRIMER 180 1.59 POLI FOTO,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,POLI,1.59,NAO,SIM,FOTOCROMATICO,S,-5.0,5.0,-4.0,0.0,1.0,3.5,14,26,80,532.0,591.0,651.0,721.0
445,STYLE PRIMER 180 1.59 POLI BLUE,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,POLI,1.59,SIM,NAO,,S,-5.0,5.0,-4.0,0.0,1.0,3.5,14,26,80,290.0,349.0,409.0,479.0
446,STYLE PRIMER 180 1.67,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.67,1.67,NAO,NAO,,S,-6.0,6.0,-4.5,0.0,1.0,3.5,14,26,80,416.0,475.0,535.0,605.0
447,STYLE PRIMER 180 1.67 FOTO,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.67,1.67,NAO,SIM,FOTOCROMATICO,S,-6.0,6.0,-4.5,0.0,1.0,3.5,14,26,80,623.0,682.0,742.0,812.0
448,STYLE PRIMER 180 1.74,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.74,1.74,NAO,NAO,,S,-7.0,7.0,-4.0,0.0,1.0,3.5,14,26,80,756.0,815.0,875.0,945.0
449,STYLE PRIMER 180 1.50 TRANS GEN 8,STYLE,PRIMER,180,PERFORM,MULTIFOCAL,1.50,1.5,NAO,SIM,TRANSITIONS GEN 8,S,-4.0,4.0,-4.0,0.0,1.0,3.5,14,26,80,435.0,494.0,554.0,624.0
501,STYLE PRIMER 360 1.56 INCOLOR,STYLE,PRIMER,360,FREEFORM,MULTIFOCAL,1.56,1.56,NAO,NAO,,SY,-4.0,4.0,-4.0,0.0,0.5,3.5,14,26,80,165.0,224.0,284.0,354.0
502,STYLE PRIMER 360 1.56 BLUE,STYLE,PRIMER,360,FREEFORM,MULTIFOCAL,1.56,1.56,SIM,NAO,,SY,-4.0,4.0,-4.0,0.0,0.5,3.5,14,26,80,210.0,269.0,329.0,399.0
