codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,blue_uv,foto,marca_foto,marcacao,esf_min,esf_max,cil_min,cil_max,add_min,add_max,alt_min,alt_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro
1201,VS SURFA 1.50 POLARIZADO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,NAO,,,-4.0,6.0,0.0,-4.0,,,,,77,319.0,,,
1202,VS SURFA 1.50 TRANS GEN 8,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,SIM,TRANSITIONS GEN 8,,-6.0,6.0,0.0,-4.0,,,,,77,275.0,334.0,394.0,474.0
1203,VS SURFA 1.50,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,NAO,,,-4.0,4.0,0.0,-4.0,,,,,77,79.0,138.0,198.0,278.0
1204,VS SURFA 1.56 FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.56,1.56,NAO,SIM,FOTOCROMATICO,,-4.0,6.0,0.0,-4.0,,,,,77,106.0,165.0,225.0,305.0
1205,VS SURFA 1.56 BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.56,1.56,SIM,NAO,,,-4.0,4.0,0.0,-4.0,,,,,77,173.0,232.0,292.0,372.0
1206,VS SURFA 1.59 POLI,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,NAO,NAO,,,-6.0,10.0,0.0,-4.0,,,,,77,126.0,185.0,245.0,325.0
1207,VS SURFA 1.59 POLI FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,NAO,SIM,FOTOCROMATICO,,0.0,10.0,0.0,-4.0,,,,,77,455.0,514.0,574.0,654.0
1208,VS SURFA 1.59 POLI BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,SIM,NAO,,,-6.0,10.0,0.0,-4.0,,,,,77,210.0,269.0,329.0,409.0
1209,VS SURFA 1.67,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,NAO,NAO,,,0.0,6.0,0.0,-4.0,,,,,77,247.0,306.0,366.0,446.0
1210,VS SURFA 1.67 BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,SIM,NAO,,,0.0,12.0,0.0,-4.0,,,,,77,268.0,327.0,387.0,467.0
1211,VS SURFA 1.67 FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,NAO,SIM,FOTOCROMATICO,,0.0,10.0,0.0,-4.0,,,,,77,429.0,488.0,548.0,628.0
1212,VS SURFA 1.74,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.74,1.74,NAO,NAO,,,0.0,10.0,0.0,-4.0,,,,,77,632.0,691.0,751.0,831.0
1201,VS SURFA 1.50 POLARIZADO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,NAO,,,-4.0,6.0,0.0,-4.0,,,,,77,319.0,,,
1202,VS SURFA 1.50 TRANS GEN 8,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,SIM,TRANSITIONS GEN 8,,-6.0,6.0,0.0,-4.0,,,,,77,275.0,334.0,394.0,474.0
1203,VS SURFA 1.50,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.50,1.5,NAO,NAO,,,-4.0,4.0,0.0,-4.0,,,,,77,79.0,138.0,198.0,278.0
1204,VS SURFA 1.56 FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.56,1.56,NAO,SIM,FOTOCROMATICO,,-4.0,6.0,0.0,-4.0,,,,,77,106.0,165.0,225.0,305.0
1205,VS SURFA 1.56 BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.56,1.56,SIM,NAO,,,-4.0,4.0,0.0,-4.0,,,,,77,173.0,232.0,292.0,372.0
1206,VS SURFA 1.59 POLI,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,NAO,NAO,,,-6.0,10.0,0.0,-4.0,,,,,77,126.0,185.0,245.0,325.0
1207,VS SURFA 1.59 POLI FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,NAO,SIM,FOTOCROMATICO,,0.0,10.0,0.0,-4.0,,,,,77,455.0,514.0,574.0,654.0
1208,VS SURFA 1.59 POLI BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,POLI,1.59,SIM,NAO,,,-6.0,10.0,0.0,-4.0,,,,,77,210.0,269.0,329.0,409.0
1209,VS SURFA 1.67,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,NAO,NAO,,,0.0,6.0,0.0,-4.0,,,,,77,247.0,306.0,366.0,446.0
1210,VS SURFA 1.67 BLUE,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,SIM,NAO,,,0.0,12.0,0.0,-4.0,,,,,77,268.0,327.0,387.0,467.0
1211,VS SURFA 1.67 FOTO,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.67,1.67,NAO,SIM,FOTOCROMATICO,,0.0,10.0,0.0,-4.0,,,,,77,429.0,488.0,548.0,628.0
1212,VS SURFA 1.74,VS,SURFA,VS,SURFASSADA,VISAO_SIMPLES,1.74,1.74,NAO,NAO,,,0.0,10.0,0.0,-4.0,,,,,77,632.0,691.0,751.0,831.0
