id,nome,contato,telefone,email,observacoes,created_at,representante,contato_representante,ativo,codigo_cliente,whatsapp_atendimento,whatsapp_financeiro,whatsapp_comercial,site,cep,cnpj,razao_social,endereco,pessoa_contato,condicoes_pagamento,prazo_entrega_dias
15db4d9c-8c60-4b4d-8b8d-7cc9a5fd97e1,Brascor,Brascor Distribuidora de Lentes,(11) 93047-3110,vendas@brascorlab.com.br,aceita pedidos por email,2025-04-30 19:58:38.358647+00,Shirley,+55 11 91421-1122,true,,,,,,,,Brascor Distribuidora de Lentes,,Brascor Distribuidora de Lentes,30 dias,7
199bae08-0217-4b70-b054-d3f0960b4a78,Sygma,Sygma Lentes Laboratório Óptico,(11) 3667-8803,contato@sygmalentes.com.br,,2025-05-28 16:57:43.38942+00,Não informado,Paulo,true,83642,(11) 93768-9139,(11) 9657-9404,(11) 97657-4040,https://www.sygmalentes.com.br,01153-010,,Sygma Lentes Laboratório Óptico,,Sygma Lentes Laboratório Óptico,30 dias,7
1d0b088f-dcb1-4179-9a18-5d67ce86c4b6,Sao Paulo Acessorios,São Paulo Acessórios LTDA,(11) 99999-9999,contato@spacessorios.com.br,Fornecedor de produtos INFINITY,2025-05-07 16:53:15.990552+00,Carlos,(11) 99999-9999,true,,,,,,,,São Paulo Acessórios LTDA,,São Paulo Acessórios LTDA,30 dias,7
3a0a8ad3-4c55-44a2-b9fa-232a9f2fdc21,Polylux,Polylux Comercio de Produtos Opticos LTDA,(11) 4123-1319,atendimento@polilux.com,prazo depende da regi�o,2025-04-30 19:58:38.358647+00,Espedito,+55 11 98271-6465,true,,,,,,,,Polylux Comercio de Produtos Opticos LTDA,,Polylux Comercio de Produtos Opticos LTDA,30 dias,7
43721f5b-4f4a-4a75-bb34-6e8b373c5948,Braslentes,Champ Brasil Comercio LTDA,(11) 91285-8758,contato@braslentes.com.br,Pagamento à vista. Frete não incluso. Valores sujeitos a alterações sem aviso prévio. Consulte disponibilidade de estoque.,2025-04-30 19:58:38.358647+00,Erica,(11) 91285-8758,true,,,,(11) 91285-8758,,,,Champ Brasil Comercio LTDA,,Champ Brasil Comercio LTDA,à vista,10
8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,Express,Lentes e Cia Express LTDA,(11) 94165-8875,lentesexpress25@gmail.com,"Atendimento na Galeria Florêncio (próx. Metrô Luz) - Rua Senador Queiroz, 360, 1º andar, BOX 114A. Funcionamento: seg a sex das 9h às 16h; sábados das 9h às 14h (exceto último sábado do mês).",2025-04-30 19:58:38.358647+00,Maria,(11) 94165-8875,true,,(11) 94165-8875,,,,01026-001,,Lentes e Cia Express LTDA,,Lentes e Cia Express LTDA,à vista,3
c50ea6eb-a420-4cf7-8aa2-68aaeb41ac95,Navarro Oculos,Navarro Distribuidora de Óculos LTDA,(11) 88888-8888,contato@navarro.com.br,Fornecedor da linha Xclusive,2025-05-07 16:53:15.990552+00,Roberto,(11) 88888-8888,true,,,,,,,,Navarro Distribuidora de Óculos LTDA,,Navarro Distribuidora de Óculos LTDA,30 dias,7
d88018ac-ecae-4b38-b321-94babe5f85e3,Style,Style Primer Lentes Oftalmicas e Arma��es,(11) 91367-9326,,pedido somente por whats,2025-04-30 19:58:38.358647+00,Ericson/Alessandro," 97823-1773-95408-8048",true,,,,,,,,Style Primer Lentes Oftalmicas e Arma��es,,Style Primer Lentes Oftalmicas e Arma��es,30 dias,7
d90bebaf-e552-4cf0-a226-808c91bda73a,Kaizi Oculos Solares,Kaizi Importação e Exportação LTDA,(11) 77777-7777,contato@kaizi.com.br,Fornecedor de óculos solares Mello,2025-05-07 16:53:15.990552+00,Eduardo,(11) 77777-7777,true,,,,,,,,Kaizi Importação e Exportação LTDA,,Kaizi Importação e Exportação LTDA,30 dias,7
e1e1eace-11b4-4f26-9f15-620808a4a410,So Blocos,S� blocos Comercio e Servi�os Oticos LTDA,(11) 93778-3087,,pedido somente por whats,2025-04-30 19:58:38.358647+00,Mauricio,(11) 93778-3087,true,,,,,,,,S� blocos Comercio e Servi�os Oticos LTDA,,S� blocos Comercio e Servi�os Oticos LTDA,30 dias,7
e4a24408-3d58-4fc7-a096-cf7140f4f248,Galeria Florencio lj11,Galeria Florêncio Comércio de Óptica LTDA,(11) 66666-6666,contato@galeriaflorencio.com.br,Fornecedor de armações Mello,2025-05-07 16:53:15.990552+00,Márcia,(11) 66666-6666,true,,,,,,,,Galeria Florêncio Comércio de Óptica LTDA,,Galeria Florêncio Comércio de Óptica LTDA,30 dias,7
